,bat_order,player_id,player_name,how_out,minutes,runs,balls,fours,sixes,strike_rate,player,overs,maidens,runs_conceded,wickets,economy,dot_balls,extras,match_id,series_id,home_x,innings_no,innings_title,in_play,result,status,toss,home_scores,away_scores,home_y,away,venue,tournament,date,ipl_season
10492,3.0,998952.0,Charles Amini,c Mohammad Naim b Shakib Al Hasan,-,1.0,2.0,0.0,0.0,50,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10493,4.0,1261293.0,Sese Bau,c Mohammad Naim b Shakib Al Hasan,-,7.0,21.0,0.0,0.0,33.33,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10494,5.0,3345111.0,Simon Atai,c Mahedi Hasan b Shakib Al Hasan,-,0.0,2.0,0.0,0.0,0,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10495,6.0,1938537.0,Hiri Hiri,c Nurul Hasan b Shakib Al Hasan,-,8.0,15.0,1.0,0.0,53.33,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10496,7.0,1572771.0,Norman Vanua,c Mushfiqur Rahim b Mahedi Hasan,-,0.0,2.0,0.0,0.0,0,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10497,8.0,1938531.0,Kiplin Doriga,not out,-,46.0,34.0,2.0,2.0,135.29,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10498,9.0,1722873.0,Chad Soper, b Mohammad Saifuddin,-,11.0,12.0,0.0,1.0,91.66,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10499,10.0,1572777.0,Kabua Morea,run out (Afif Hossain/Nurul Hasan),-,3.0,6.0,0.0,0.0,50,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10500,11.0,3367683.0,Damien Ravu,c Nurul Hasan b Taskin Ahmed,-,5.0,5.0,1.0,0.0,100,,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
10501,,,,,,,,,,,batter,,,,,,,,2547453,894,Bangladesh,2,Papua New Guinea Innings,No,Yes,Bangladesh won by 84 runs,"Bangladesh, elected to bat first",181/7,"97 (19.3/20 ov, target 182)",Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20_W2021,2021-10-21,
